nombre,poblacion,superficie,continente
Canadá,39547000,9984670,América
Estados Unidos,347275807,9833517,América
China,1412000000,9596961,Asia
Brasil,217403611,8515767,América
Australia,26974026,7682300,Oceania
India,1463865525,3287263,Asia
Madagascar,78902,3212321,Africa
Argentina,45851378,2736690,América
Kazajistán,19987000,2724900,Asia
Argelia,47435312,2381740,África
RD Congo,102262000,2344858,África
Arabia Saudita,37057000,2149690,Asia
México,132328035,1964375,América
Indonesia,285721236,1904569,Asia
Libia,6931000,1759540,África
Irán,89172000,1648195,Asia
Mongolia,3458000,1564116,Asia
Perú,34523000,1285216,América
Chad,19000000,1284000,África
Níger,26987000,1267000,África
Angola,39040039,1246700,África
Malí,22979000,1240192,África
Colombia,53200000,1141748,América
Etiopía,135472954,1104300,África
Bolivia,12581843,1083300,América
Mauritania,4925000,1030700,África
Egipto,118366000,1002450,África
Nigeria,229152217,923768,África
Namibia,2540900,825615,África
Mozambique,33742000,801590,África
Pakistán,255219554,770880,Asia
Chile,19700000,756102,América
Birmania,55800000,676578,Asia
Afganistán,43844111,652860,Asia
Madagascar,30969500,587041,África
Botsuana,2672000,581730,África
Kenia,58036700,580367,África
Francia,68304000,551695,Europa
España,48032665,505990,Europa
Camerún,28900000,475442,África
Papúa Nueva Guinea,10100000,462840,Oceania
Marruecos,37840000,446550,África
Irak,44012345,438317,Asia
Paraguay,7340000,406752,América
Noruega,5470000,385207,Europa
Japón,122456000,377975,Asia
Alemania,83294000,357022,Europa
Filipinas,116787254,342353,Asia
Finlandia,5540745,338424,Europa
Malasia,34628000,330803,Asia
Costa de Marfil,29000000,322463,África
Polonia,37958000,312696,Europa
Omán,4560000,309500,Asia
Italia,58871000,301340,Europa
Ecuador,18001000,276841,América
Burkina Faso,22987000,272967,África
Nueva Zelanda,5210000,268838,Oceania
Gabón,2301264,267668,África
Guinea,14012345,245857,África
Ghana,34210562,238533,África
Rumanía,18987000,238397,Europa
Laos,7648353,236800,Asia
Guyana,804567,214969,América
Bielorrusia,8997603,202910,Europa
Kirguistán,7001234,199951,Asia
Camboya,17900000,181035,Asia
Nepal,31267000,147516,Asia
Grecia,10715549,131957,Europa
Nicaragua,7046300,130375,América
Bangladés,175686899,130170,Asia
Corea del Norte,25900000,120538,Asia
Malaui,20931000,118484,África
Eritrea,3600100,117600,África
Benín,14814460,112760,África
Honduras,10512345,112492,América
Liberia,5532000,111369,África
Bulgaria,6820000,110879,Europa
Cuba,11300000,109884,América
Guatemala,19001000,108889,América
Islandia,380123,103000,Europa
Corea del Sur,51700000,100210,Asia
Hungría,9704567,93028,Europa
Portugal,10300000,92090,Europa
Jordania,11012345,89342,Asia
Emiratos Árabes Unidos,9400145,83600,Asia
Azerbaiyán,10397713,82658,Asia
Austria,9113574,82409,Europa
República Checa,10700000,78867,Europa
Panamá,4520000,75420,América
Irlanda,5204567,70273,Europa
Georgia,3701000,69700,Europa/Asia
Lituania,2656000,65300,Europa
Letonia,1866843,64589,Europa
Croacia,3900000,56594,Europa
Bosnia y Herzegovina,3140095,51197,Europa
Costa Rica,5200000,51100,América
Eslovaquia,5456362,49035,Europa
República Dominicana,11300000,48671,América
Estonia,1322769,45227,Europa
Dinamarca,5934465,43094,Europa
Países Bajos,17600000,41543,Europa
Bután,796682,38117,Asia
Guinea-Bisáu,2200456,36125,África
Moldavia,2600000,33843,Europa
Bélgica,11758603,30280,Europa
Islas Salomón,740456,28896,Oceania
Armenia,2952365,28470,Asia
Burundi,12900000,27834,África
Haití,11704567,27750,América
Albania,2771508,27400,Europa
Ruanda,13900000,26338,África
Belice,422924,22810,América
Israel,9601234,22072,Asia
El Salvador,6501894,21041,América
Eslovenia,2108977,20273,Europa
Fiyi,940446,18274,Oceania
Kuwait,4301234,17818,Asia
Esuatini,1204854,17364,África
Montenegro,619211,13812,Europa
Catar,2930000,11571,Asia
Qatar,2930000,11571,Asia
Gambia,2706253,11295,África
Jamaica,2804567,10991,América
Líbano,5613100,10452,Asia
Bahamas,403033,10010,América
Chipre,1250000,9251,Europa/Asia
Brunéi,460000,5765,Asia
Cabo Verde,561901,4033,África
Luxemburgo,654768,2586,Europa
Comoras,987000,2235,África
Mauricio,1300944,2040,África
Kiribati,130456,811,Oceania
Baréin,1643332,760,Asia
Dominica,72609,751,América
Micronesia,116254,702,Oceania
Andorra,82904,470,Europa
Palaos,18092,459,Oceania
Curazao,155000,444,América
Antigua y Barbuda,94209,440,América
Barbados,282623,430,América
Granada,113949,344,América
Malta,535064,316,Europa
Maldivas,521021,298,Asia
Islas Marshall,42100,181,Oceania
Liechtenstein,39244,160,Europa
Nauru,10704,21,Oceania
Mónaco,39242,2.02,Europa
